count,title,keywords,textbox,military,influence
5,"{\qc\b\fs24 People's Parliament}","{\qc\i\fs20 Location}","{\qc The {\b Factions Phase} happens for all players. You pay 1 less than you bid in the Factions Phase.}",-1,-1
5,"{\qc\b\fs24 Headquarters}","{\qc\i\fs20 Location}","{\qc You may play one card from your Hand or the top of your Deck into your Coup pool this turn, after pools and loyalties have been revealed.\par \par There is a Coup Excuse this turn.}",-1,-1
5,"{\qc\b\fs24 Club District}","{\qc\i\fs20 Location}","{\qc The {\b Personalities Phase} happens for all players. You pay 1 less than you bid in the Personalities Phase.}}",-1,-1
5,"{\qc\b\fs24 Central Bank}","{\qc\i\fs20 Location}","{\qc The {\b Banking Phase} happens for you.}",-1,-1
1,"{\qc\b\fs24 El Presidente}","{\qc\i\fs20 Father of His Country}","{\ql - Assigns Ministerial positions\par \par - Proposes the Budget}","{\qc\b\fs36 4}","{\qc\b\fs36 2}"
1,"{\qc\b\fs24 Interior Minister}","{\qc\i\fs20 Guardian of Security}","{\ql - Assigns Ministerial positions\par \par - Proposes the Budget}","{\qc\b\fs36 2}","{\qc\b\fs36 1}"
1,"{\qc\b\fs24 Generalissimo}","{\qc\i\fs20 Iron Fist of the State}","{\ql - Assigns Ministerial positions\par \par - Proposes the Budget}","{\qc\b\fs36 6}","{\qc\b\fs36 0}"
1,"{\qc\b\fs24 Intelligence Minister}","{\qc\i\fs20 Man of Many Eyes}","{\ql - Assigns Ministerial positions\par \par - Proposes the Budget}","{\qc\b\fs36 0}","{\qc\b\fs36 1}"
1,"{\qc\b\fs24 Propaganda Minister}","{\qc\i\fs20 The Voice of Truth}","{\ql - Assigns Ministerial positions\par \par - Proposes the Budget}","{\qc\b\fs36 0}","{\qc\b\fs36 2}"
1,"{\qc\b\fs24 The Army}","{\qc\i\fs20 Faction - Military}","{\ql This Faction's Controller gains Military +5.}","{\qc\b\fs36 5}",-1
1,"{\qc\b\fs24 The Navy}","{\qc\i\fs20 Faction - Military}","{\ql This Faction's Controller gains Military +3.\par\par{\b Prestige:} Any Player on the winning side of a Coup this turn gains 3 Prestige.}","{\qc\b\fs36 3}",-1
